"concentration_mean","concentration_median","concentration_mean_filtered","concentration_median_filtered","prob_contamination","time_contaminated_mean","time_contaminated_median","max_contam_bout_mean","max_contam_bout_median","contacts_mean","contacts_median","transfers_mean","transfers_median","temp_niche_mean","temp_niche_median","niches_estab_mean","niches_estab_median","food_cont_mean","food_cont_median","zone4_cont_mean","zone4_cont_median","random_cont_mean","random_cont_median","conc_mid_mon_mean","conc_mid_mon_median","conc_mid_mon_mean_filtered","conc_mid_mon_median_filtered","prob_cont_mon","conc_mid_tue_mean","conc_mid_tue_median","conc_mid_tue_mean_filtered","conc_mid_tue_median_filtered","prob_cont_tue","conc_mid_wed_mean","conc_mid_wed_median","conc_mid_wed_mean_filtered","conc_mid_wed_median_filtered","prob_cont_wed","conc_mid_thu_mean","conc_mid_thu_median","conc_mid_thu_mean_filtered","conc_mid_thu_median_filtered","prob_cont_thu","conc_mid_fri_mean","conc_mid_fri_median","conc_mid_fri_mean_filtered","conc_mid_fri_median_filtered","prob_cont_fri"
0,0,NA,NA,0,0.899,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0.00704212903293486,0,7.04212903293486,7.04212903293486,0.001,0.007072,0,7.072,7.072,0.001,0.007104,0,7.104,7.104,0.001,0.00870904508047051,0,4.35452254023525,4.35452254023525,0.002,0.008756,0,4.378,4.378,0.002
2.05652886132893e-05,0,0.00186957169211721,0.000803239824085123,0.011,104.223,86,31.374,9,119.191,111,135.263,130,0.087,0,0,0,40.026,37,0,0,0.01,0,10.601494271794,0.07715,12.0608581021547,0.232351832676204,0.879,10.5315128036914,0.1042,11.8066287036899,0.24335,0.892,9.49592713048453,0.1018,10.5863178712202,0.2224,0.897,10.1640462289777,0.11725,11.3691792270444,0.2527,0.894,10.6401586207044,0.1058,11.8487289762855,0.2437,0.898
9.34615733035214e-08,0,1.86923146607043e-05,1.21358110149288e-05,0.005,52.595,54,10.586,9,84.562,74,83.969,75.5,0.063,0,0,0,0,0,0,0,0.006,0,0.0100011667986019,2e-04,0.016262059835125,0.0011,0.615,0.0136672210648179,4e-04,0.0208659863585006,0.0015,0.655,0.024648666054895,0.00055,0.0366250610028157,0.0017,0.673,0.0365874440356306,0.000699996953240365,0.05256816671786,0.002,0.696,0.0547599684233865,8e-04,0.075530990928809,0.0024,0.725
390.384619214733,1.06029356770467,569.90455359815,8.75618145322814,0.685,151.109,205,150.348,204.5,16.803,13,16.838,13,0,0,1.611,1,0,0,0,0,0.008,0,52.7706,0.08,95.2537906137184,3.2,0.554,69.2914,0.16,118.853173241852,4.08,0.583,101.206645818176,0.24,166.458299043053,5.22,0.608,149.7092,0.44,232.829237947123,6.4,0.643,230.008559575542,0.7,342.274642225508,7.48,0.672
27.1592074429649,0.125037967136628,37.9849055146362,0.967338222179934,0.715,155.696,199,145.064,134,17.008,12,17.025,11,0,0,2.001,1,0,0,0,0,0.007,0,12.278104,0.0112,20.5319464882943,0.544,0.598,12.9617248,0.0208,21.2836203612479,0.5952,0.609,13.2115407977889,0.0336,20.6753377117197,0.6016,0.639,14.9200448,0.064,22.038470901034,0.6608,0.677,20.3594064,0.0992,29.0020034188034,0.8872,0.702
0.351097744942488,0.00203730817462916,0.455971097327907,0.0109189471476274,0.77,188.034,231,155.757,142.5,106.344,100,49.509,40,0,0,16.336,17,0,0,0,0,0.014,0,0.123987432702913,0.000396426781443798,0.190749896466021,0.00627327106797567,0.65,0.152763369842158,0.000709029631821019,0.225647518230662,0.00575810432469324,0.677,0.216878694766372,0.000727475884231219,0.302480745838734,0.00688991722066099,0.717,0.289092061925836,0.00133738611758021,0.387522871214258,0.00823714137363669,0.746,0.29006193246619,0.00174946746478753,0.379165924792406,0.00848854590126314,0.765
0.0100871160566852,0,0.152835091767957,4e-04,0.066,173.209,210,106.248,125,91.253,88,112.588,107,0.007,0,0,0,0,0,0,0,0.007,0,0.383632239251057,0,0.771895853623857,0.0102406466022944,0.497,0.842679080541308,0.00204436499630534,1.24841345265379,0.0192191143832894,0.675,1.92692851524469,0.00541097492913088,2.5934434929269,0.0309190469571487,0.743,2.53224880615522,0.00953808900907839,3.28011503387982,0.0421809413935122,0.772,3.62416529777852,0.0139985113647117,4.54725884288397,0.0598026744314703,0.797
2.18617279428262e-05,0,0.000287654315037187,8.94261536649001e-06,0.076,177.053,210,102.795,124,78.466,72,88.391,85,0.013,0,0,0,0,0,0,0,0.005,0,0.0130340726848698,4.26655242200818e-06,0.0244541701404687,0.000577771618717183,0.533,0.0244790584541539,8.3893446486673e-05,0.0355283867259128,0.00088852024376897,0.689,0.0269508903064654,0.000144560675273391,0.0366678779679802,0.00114736618750448,0.735,0.0387773187351997,0.000267780724527481,0.050755652794764,0.00141094260036472,0.764,0.0455339941061447,0.000351210063058452,0.0583769155206983,0.00118587575737995,0.78
1.7086801840033e-05,0,0.0017086801840033,0.00119047619047619,0.01,53.977,37.5,21.414,8,17.379,14,11.906,8,0.069,0,0,0,0,0,0,0,0.007,0,5.11308024725475,0,14.6506597342543,0.12452380952381,0.349,5.16714596002687,0,12.3027284762544,0.12,0.42,6.96908869369233,0,15.3166784476754,0.147380952380952,0.455,5.82291857338025,0,12.7976232381983,0.134761904761905,0.455,5.3156726807594,0,12.1919098182555,0.162857142857143,0.436
0.000228682572036243,0,0.0254091746706937,0.00119047619047619,0.009,54.376,38,21.631,8,17.619,14,11.984,7,0.065,0,0,0,0,0,0,0,0.005,0,4.53026581654408,0,11.9532079592192,0.143333333333333,0.379,6.26824308160056,0,14.409754210576,0.209047619047619,0.435,5.88314889715764,0,13.401250335211,0.123571428571429,0.439,5.39640557148784,0,12.4628304191405,0.164047619047619,0.433,4.79491249014794,0,10.9975057113485,0.16452380952381,0.436
