"","Var2","value","variable"
"1","crate_prevalence",0.275698483587477,"crate_prevalence"
"2","food_conc",0.675350169674697,"food_conc"
"3","food_tc",0.169079752499755,"food_tc"
"4","p_random_noise",0.12973140370683,"p_random_noise"
"5","p_zone4_intro",0.181303678152117,"p_zone4_intro"
"6","p11",0.336513427390828,"p11"
"7","p33",0.193652607426239,"p33"
"8","tc11",0.133539482581007,"tc11"
"9","tc33",-0.162871167501846,"tc33"
